499,was,2,1,0
500,her,2,1,0
501,father,2,1,0
502,creating?,2,1,1
503,Suddenly,2,1,0
504,they,2,1,0
505,heard,2,1,0
506,an,2,1,0
507,evil,2,1,0
508,laugh.,2,1,0
509,It,2,1,0
510,was,2,1,0
511,even,2,1,0
512,worse,2,1,1
513,than,2,1,0
514,the,2,1,0
515,one,2,1,0
516,Mia,2,1,0
517,heard,2,1,0
518,the,2,1,0
519,night,2,1,0
520,before.,2,1,0
521,What,2,1,0
522,if,2,1,0
523,a,2,1,0
524,monster,2,1,0
525,was,2,1,0
526,going,2,1,0
527,to,2,1,0
528,kill,2,1,1
529,them?,2,1,0
530,Mia,2,1,0
531,had,2,1,0
532,to,2,1,0
533,do,2,1,0
534,something.,2,1,0
535,She,2,1,0
536,shouted,2,1,1
537,for,2,1,0
538,help.,2,1,0
539,Mia's,2,1,0
540,father,2,1,0
541,ran,2,1,0
542,into,2,1,0
543,the,2,1,0
544,room,2,1,0
545,and,2,1,0
546,turned,2,1,0
547,on,2,1,0
548,the,2,1,0
549,lights.,2,1,0
550,Oh,2,1,0
551,no,2,1,0
552,he,2,1,0
553,said.,2,1,0
554,You,2,1,0
555,must,2,1,0
556,have,2,1,0
557,learned,2,1,0
558,my,2,1,0
559,secret.,2,1,1
560,Your,2,1,0
561,monster,2,1,0
562,tried,2,1,0
563,to,2,1,0
564,kill,2,1,0
565,us,2,1,0
566,Mia,2,1,0
567,said.,2,1,0
568,Monster?,2,1,0
569,he,2,1,0
570,asked.,2,1,0
571,You,2,1,0
572,mean,2,1,0
573,this?,2,1,0
574,He,2,1,0
575,had,2,1,0
576,a,2,1,0
577,pretty,2,1,0
578,doll,2,1,0
579,in,2,1,0
580,his,2,1,0
581,hands.,2,1,0
582,The,2,1,0
583,doll,2,1,0
584,laughed.,2,1,0
585,The,2,1,0
586,laugh,2,1,0
587,didn't,2,1,0
588,sound,2,1,0
589,so,2,1,0
590,evil,2,1,0
591,anymore.,2,1,0
592,I,2,1,0
593,made,2,1,0
594,this,2,1,0
595,foryour,2,1,0
596,birthday.,2,1,0
597,I,2,1,0
598,wanted,2,1,0
599,to,2,1,0
600,give,2,1,0
601,it,2,1,0
602,to,2,1,0
603,you,2,1,0
604,then,2,1,0
605,but,2,1,0
606,you,2,1,0
607,can,2,1,0
608,have,2,1,0
609,it,2,1,0
610,now.,2,1,0
611,I,2,1,0
612,hope,2,1,0
613,you,2,1,0
614,like,2,1,0
615,it,2,1,0
616,Lee,3,1,0
617,sat,3,1,0
618,among,3,1,1
619,the,3,1,0
620,books,3,1,0
621,at,3,1,0
622,the,3,1,0
623,library,3,1,1
624,and,3,1,0
625,thought,3,1,0
626,about,3,1,0
627,his,3,1,0
628,group,3,1,0
629,project.,3,1,0
630,They,3,1,0
631,had,3,1,0
632,to,3,1,0
633,turn,3,1,0
634,it,3,1,0
635,in,3,1,0
636,soon,3,1,0
637,but,3,1,0
638,he,3,1,0
639,hadn't,3,1,0
640,even,3,1,0
641,started,3,1,0
642,his,3,1,0
643,part!,3,1,0
644,Jack,3,1,0
645,and,3,1,0
646,Claire,3,1,0
647,were,3,1,0
648,in,3,1,0
649,his,3,1,0
650,group.,3,1,0
651,They,3,1,0
652,had,3,1,0
653,worked,3,1,0
654,hard.,3,1,0
655,They,3,1,0
656,were,3,1,0
657,also,3,1,0
658,very,3,1,0
659,smart,3,1,0
660,and,3,1,0
661,Lee,3,1,0
662,didn't,3,1,0
663,want,3,1,0
664,them,3,1,0
665,to,3,1,0
666,get,3,1,0
667,a,3,1,0
668,bad,3,1,0
669,grade.,3,1,1
670,Jack,3,1,0
671,did,3,1,0
672,the,3,1,0
673,report.,3,1,1
674,He,3,1,0
675,wrote,3,1,0
676,a,3,1,0
677,lot,3,1,0
678,of,3,1,0
679,very,3,1,0
680,good,3,1,0
681,sentences,3,1,0
682,and,3,1,0
683,described,3,1,1
684,things,3,1,0
685,with,3,1,0
686,great,3,1,0
687,adjectives.,3,1,0
688,Claire,3,1,0
689,drew,3,1,0
690,a,3,1,0
691,nice,3,1,0
692,map,3,1,0
693,of,3,1,0
