102,I had my choice of five doors to open,A choice is the act or possibility of picking something,1,6,choice,n,null,null
103,The kids from my community usually play together,A community is a group of people who live together,1,6,community,n,null,null
104,A dead person is usually buried in the ground,To be dead is to not be alive,1,6,dead,adj,null,null
105,The distance between the Earth and the Moon is 384400 kilometers,The distance between two things is how far it is between them,1,6,distance,n,null,null
106,The butterfly could not escape from the cage,To escape is to run away from something bad,1,6,escape,v,null,null
107,My sister and I have to find a better way to face our differences,If you face a problem you deal with it,1,6,face,v,null,null
108,The little boy followed his mother home,To follow means to go behind someone and go where they go,1,6,follow,v,null,null
109,She was filled with fright,Fright is the feeling of being scared,1,6,fright,n,null,null
110,Many people are afraid of ghosts,A ghost is the spirit of a dead person,1,6,ghost,n,null,null
111,Only one individual could win the bicycle race,An individual is one person,1,6,individual,n,null,null
112,Out of all my pets the dog is my favorite,A pet is an animal that lives with people,1,6,pet,n,null,null
113,I was happy to finally reach my destination,To reach means to arrive at a place,1,6,reach,v,null,null
114,I was happy to return home to my mom after school,To return is to go back to a place,1,6,return,v,null,null
115,My dog survived her fall into the water,To survive is to stay alive,1,6,survive,v,null,null
116,She was upset because she broke her toy,To be upset is to be unhappy about something,1,6,upset,adj,null,null
117,He used a microphone so everyone could hear his voice,A voice is the sound a person makes when they talk or sing,1,6,voice,n,null,null
118,The weather can be sunny rainy or cold,The weather is the condition of the air: hot rainy windy etc,1,6,weather,n,null,null
119,Many people believe that owls are very wise animals,To be wise is to use experience and intelligence to make good choices,1,6,wise,adj,null,null
120,Having a ticket will allow you to enter the show,To allow something to happen means to let it happen,1,7,allow,v,null,null
121,He announced to everyone his new idea for the company,To announce something is to make it known,1,7,announce,v,null,null
122,The two brothers stood beside each other,When someone or something is beside you they are next to you,1,7,beside,prep,null,null
123,It was a challenge to climb to the top of the mountain,A challenge is something difficult to complete,1,7,challenge,n,null,null
124,"He claimed to know why the country""s laws were weak",To claim means to say that something is true,1,7,claim,v,null,null
125,"The patient""s condition was very good",The condition of someone or something is the state that they are in,1,7,condition,n,null,null
126,We decided to contribute money to the new hospital,To contribute to something means to do something to make it successful,1,7,contribute,v,null,null
127,The biggest difference between the birds is the color of their feathers,A difference is a way that something is not like other things,1,7,difference,n,null,null
128,We divided the pizza,To divide something is to make it into smaller parts,1,7,divide,v,null,null
129,The wizard was an expert at magic,An expert is someone who is very good at doing something,1,7,expert,n,null,null
130,The Eiffel Tower in Paris is very famous,If someone or something is famous they are known to many people,1,7,famous,adj,null,null
131,He used all his force to try and open the door,"Force is a person""s strength or power",1,7,force,n,null,null
132,A hot iron can cause great harm if you are not careful,Harm is hurt or problems caused to someone or something,1,7,harm,n,null,null
133,"Don""t lay your socks on the floor",To lay means to put or place in a horizontal or flat position,1,7,lay,v,null,null
134,A white dove is a symbol for peace,Peace is a time without war,1,7,peace,n,null,null
135,The prince and the princess were married,A prince is the son of a king,1,7,prince,n,null,null
136,Firemen protect us from fires,To protect someone is to stop them from getting hurt,1,7,protect,v,null,null
137,I could sense that he was watching me,To sense something is to know about it without being told,1,7,sense,v,null,null
138,He felt a sudden pain in his chest,When something is sudden it happens very quickly,1,7,sudden,adj,null,null
139,He is fat Therefore he will go on a diet,Therefore means for this reason,1,7,therefore,adv,null,null
140,"I accepted the girl""s very nice gift",To accept something that is offered is to take it,1,8,accept,v,null,null
141,Please arrange the bowling pins in order so we can play,To arrange things is to put them in the right place,1,8,arrange,v,null,null
142,My sister and I attend the same school,To attend something is to go to it,1,8,attend,v,null,null
143,We saw an elephant balance itself on a ball,To balance something is to keep it from falling,1,8,balance,v,null,null
144,The contrast between my parents is very noticeable,A contrast is the sharp difference between two things,1,8,contrast,ncontrast,null,null
145,My football coach will encourage us when we are losing,To encourage someone is to make them want to do something,1,8,encourage,v,null,null
146,The two friends were very familiar with each other,If someone or something is familiar to you you know them well,1,8,familiar,adj,null,null
147,I grabbed a pear from the tree,To grab is to take a hold of someone or something suddenly,1,8,grab,v,null,null
